minutes_year,conference,district,meeting,state,members_general,members_white,members_colored,members_indian,url
1776,NA,NA,Baltimore,NA,900,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Frederick,NA,359,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Fairfax,NA,350,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Norfolk,NA,125,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Brunswick,NA,1611,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,North Carolina,NA,683,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Hanover,NA,270,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1776,NA,NA,Pittsylvania,NA,100,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15
1777,NA,NA,New York,NA,96,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Philadelphia,NA,96,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,New Jersey,NA,160,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Chester,NA,136,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Kent,NA,720,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Baltimore,NA,900,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Annapolis,NA,120,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Frederick,NA,361,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Fairfax,NA,330,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Hanover,NA,262,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Amelia,NA,620,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Brunswick,NA,1360,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Sussex,NA,727,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,Pittsylvania,NA,150,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1777,NA,NA,North Carolina,NA,930,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=16
1779,NA,NA,NA,NA,NA,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=17
1779,NA,NA,New Jersey,NA,140,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Philadelphia,NA,89,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Chester,NA,90,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Delaware,NA,795,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Kent,NA,493,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Baltimore,NA,900,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Frederick,NA,480,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Fairfax,NA,309,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Berkley,NA,191,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Fuvanna,NA,300,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Hanover,NA,281,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Amelia,NA,470,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Sussex,NA,655,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Brunswick,NA,656,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Mecklenburg,NA,498,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Pittsylvania,NA,500,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Roanoke,NA,470,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Tar River,NA,455,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,New Hope,NA,542,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,Charlotte,NA,186,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1779,NA,NA,James City,NA,77,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=19
1780,NA,NA,New Jersey,NA,196,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Philadelphia,NA,90,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Chester,NA,100,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Delaware,NA,150,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Sussex,NA,260,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Kent,NA,725,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Baltimore,NA,880,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Frederick,NA,524,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Fairfax,NA,361,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Berkley,NA,205,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Hanover,NA,351,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Fluvanna,NA,342,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Amelia,NA,506,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Sussex,NA,630,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Brunswick,NA,454,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Mecklenburg,NA,453,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Pittsylvania,NA,634,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Yadkin,NA,21,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,New Hope,NA,455,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Tar River,NA,455,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1780,NA,NA,Roanoke,NA,480,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=21
1781,NA,NA,New Jersey,NA,512,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Pennsylvania,NA,271,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Delaware,NA,1052,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Somerset,NA,500,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Kent,NA,983,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Dorchester,NA,980,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Baltimore,NA,1000,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Frederick,NA,606,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Calvert,NA,73,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Little York,NA,90,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Fairfax,NA,301,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Berkley,NA,306,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Hanover,NA,351,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Fluvanna,NA,342,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Amelia,NA,506,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Sussex,NA,606,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Brunswick,NA,477,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Mecklenburg,NA,350,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Roanoke,NA,470,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Tar River,NA,358,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,New Hope,NA,455,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Pittsylvania,NA,600,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Marsh,NA,50,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1781,NA,NA,Edenton,NA,60,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=22
1782,NA,NA,Fairfax,NA,362,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,South Branch,NA,434,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,New Hope,NA,251,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Tar River,NA,300,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Roanoke,NA,450,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Yadkin and Pittsylvania,NA,491,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Mecklenburg,NA,355,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Brunswick,NA,671,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Sussex,NA,400,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Isle of Wight,NA,366,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Hanover,NA,360,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Fluvanna,NA,320,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,"Marsh, Amelia, and Buckingham",NA,200,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,East Jersey,NA,282,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,West Jersey,NA,375,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Pennsylvania,NA,291,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Lancaster,NA,70,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Little York,NA,166,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Delaware,NA,852,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Sussex,NA,595,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Talbot,NA,660,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Dorchester,NA,780,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Somerset,NA,456,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,"Kent, Md.",NA,618,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Baltimore,NA,998,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Frederick,NA,491,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1782,NA,NA,Calvert,NA,306,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=24
1783,NA,NA,Sussex,NA,540,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Nansemond,NA,327,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Hanover,NA,162,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Amelia,NA,306,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Fluvanna,NA,233,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Alleghany,NA,291,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Berkley,NA,165,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Fairfax,NA,310,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,"Old Town, Cumberland",NA,50,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Frederick,NA,548,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Calvert,NA,317,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Baltimore,NA,905,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Talbot,NA,719,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Dorchester,NA,751,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Annamessex,NA,235,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Somerset,NA,250,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Caroline,NA,700,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Kent,NA,697,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Dover,NA,1017,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Little York,NA,156,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Chester,NA,320,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Philadelphia,NA,119,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,East Jersey,NA,536,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,West Jersey,NA,490,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Yadkin,NA,348,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Salisbury,NA,30,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Guilford,NA,314,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,New Hope,NA,183,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Tar River,NA,338,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Roanoke,NA,400,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Marsh,NA,50,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Bertie,NA,506,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Pasquetank,NA,22,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Holston,NA,60,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Pittsylvania,NA,362,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Mecklenburg,NA,425,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1783,NA,NA,Brunswick,NA,417,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=26
1784,NA,NA,Sussex,NA,525,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Nansemond,NA,215,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Portsmouth,NA,191,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Brunswick,NA,484,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Amelia,NA,317,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Mecklenburg,NA,293,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Amherst,NA,290,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Halifax,NA,272,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Holston,NA,76,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Yadkin,NA,292,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Guilford,NA,318,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Caswell,NA,165,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Salisbury,NA,375,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,New Hope,NA,170,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Tar River,NA,426,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Roanoke,NA,495,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Bertie,NA,600,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Camden and Banks,NA,350,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Wilmington,NA,80,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Pee Dee,NA,99,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,New York,NA,60,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Long Island,NA,24,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,East Jersey,NA,450,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,West Jersey,NA,513,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Philadelphia,NA,470,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
1784,NA,NA,Little York,NA,50,NA,NA,NA,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=28
